,rating,name,url,area_genre,dinner_price,lunch_price,holiday
0,4.24,ボニュ,https://tabelog.com/tw/tokyo/A1304/A130401/13184186/,"參宮橋車站 / 法式料理, 牛排, 蛋糕","JPY 50,000 - JPY 59,999","JPY 50,000 - JPY 59,999",-
1,4.18,Yama,https://tabelog.com/tw/tokyo/A1316/A131602/13279936/,白金台車站 / 甜食,"JPY 20,000 - JPY 29,999","JPY 30,000 - JPY 39,999","星期二, 星期三"
2,4.17,おかしやうっちー,https://tabelog.com/tw/tokyo/A1309/A130901/13238644/,"北參道車站 / 蛋糕, 西式甜點",-,"JPY 5,000 - JPY 5,999",-
3,4.16,蒼菓,https://tabelog.com/tw/tokyo/A1307/A130703/13297330/,廣尾車站 / 甜食,"JPY 15,000 - JPY 19,999","JPY 15,000 - JPY 19,999","星期一, 星期二, 星期日"
4,4.03,Haruka Murooka,https://tabelog.com/tw/tokyo/A1307/A130701/13295424/,乃木坂車站 / 甜食,"JPY 20,000 - JPY 29,999","JPY 20,000 - JPY 29,999","星期二, 星期三, 星期四"
5,3.98,ラトリエ ア マ ファソン,https://tabelog.com/tw/tokyo/A1317/A131715/13242556/,"上野毛車站 / 甜食, 咖啡店","JPY 4,000 - JPY 4,999","JPY 4,000 - JPY 4,999",-
6,3.97,ジェラテリア アクオリーナ,https://tabelog.com/tw/tokyo/A1317/A131701/13141364/,"祐天寺車站 / 意式冰淇淋/冰淇淋, 軟冰淇淋",-,- JPY 999,"星期一, 星期二"
7,3.93,エーグルドゥース,https://tabelog.com/tw/tokyo/A1305/A130502/13005641/,"目白車站 / 蛋糕, 馬卡龍","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999","星期一, 星期二"
8,3.92,パティスリー リョーコ,https://tabelog.com/tw/tokyo/A1316/A131603/13137010/,"高輪台車站 / 蛋糕, 泡芙, 西式甜點",-,- JPY 999,"星期一, 星期二, 星期三, 星期四"
9,3.91,ESPRIT C. KEI GINZA,https://tabelog.com/tw/tokyo/A1301/A130101/13296199/,"銀座車站 / 法式料理, 甜食","JPY 30,000 - JPY 39,999",-,"星期一, 星期日"
10,3.89,アテスウェイ,https://tabelog.com/tw/tokyo/A1320/A132001/13005853/,"西荻窪車站 / 蛋糕, 甜食",- JPY 999,- JPY 999,"星期一, 星期二"
11,3.88,フレデリック カッセル 銀座三越店,https://tabelog.com/tw/tokyo/A1301/A130101/13116839/,"銀座車站 / 蛋糕, 甜食, 巧克力",-,"JPY 2,000 - JPY 2,999",-
12,3.87,パティスリー・パリセヴェイユ,https://tabelog.com/tw/tokyo/A1317/A131703/13005198/,"自由丘車站 / 蛋糕, 咖啡店, 麵包","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999",-
13,3.87,日本橋 長門,https://tabelog.com/tw/tokyo/A1302/A130202/13011481/,日本橋車站 / 日式點心,"JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999","星期日, 節假日"
14,3.87,アヴランシュ・ゲネー,https://tabelog.com/tw/tokyo/A1310/A131004/13186450/,"春日車站 / 蛋糕, 巧克力","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999","星期一, 星期二"
15,3.87,リョウラ,https://tabelog.com/tw/tokyo/A1317/A131707/13188208/,"用賀車站 / 蛋糕, 西式甜點","JPY 3,000 - JPY 3,999",-,"星期二, 星期三"
16,3.87,一幸庵,https://tabelog.com/tw/tokyo/A1323/A132302/13005076/,茗荷谷車站 / 日式點心,-,- JPY 999,"星期一, 星期二, 星期日"
17,3.86,GAZTA,https://tabelog.com/tw/tokyo/A1316/A131602/13223261/,白金高輪車站 / 蛋糕,-,"JPY 1,000 - JPY 1,999",星期一
18,3.86,オーボンヴュータン 尾山台店,https://tabelog.com/tw/tokyo/A1317/A131715/13181654/,"尾山台車站 / 蛋糕, 小菜, 咖啡店","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999","星期二, 星期三"
19,3.86,ブーランジェリー スドウ,https://tabelog.com/tw/tokyo/A1317/A131709/13098861/,"松陰神社前車站 / 麵包, 咖啡店, 甜食",- JPY 999,- JPY 999,"星期一, 星期二, 星期三, 星期四"
20,3.86,Think,https://tabelog.com/tw/tokyo/A1311/A131105/13283557/,"鶯谷車站 / 麵包, 西式甜點","JPY 1,000 - JPY 1,999",-,"星期一, 星期二"
21,3.85,アステリスク,https://tabelog.com/tw/tokyo/A1318/A131811/13140735/,代代木上原車站 / 蛋糕,- JPY 999,- JPY 999,"星期一, 星期二"
22,3.85,ザ・ペニンシュラ ブティック＆カフェ,https://tabelog.com/tw/tokyo/A1301/A130102/13043019/,"日比谷車站 / 蛋糕, 咖啡店, 麵包",-,"JPY 1,000 - JPY 1,999",-
23,3.85,パティスリー カーヴァンソン,https://tabelog.com/tw/tokyo/A1309/A130905/13035194/,"飯田橋車站 / 蛋糕, 巧克力, 西式甜點","JPY 10,000 - JPY 14,999",-,-
24,3.85,レカー,https://tabelog.com/tw/tokyo/A1303/A130303/13243988/,"代官山車站 / 麵包, 西式甜點",- JPY 999,- JPY 999,-
25,3.85,LESS by Gabriele Riva & Kanako Sakakura,https://tabelog.com/tw/tokyo/A1303/A130302/13274859/,"惠比壽車站 / 蛋糕, 巧克力",-,"JPY 2,000 - JPY 2,999","星期二, 星期三"
26,3.84,うさぎや,https://tabelog.com/tw/tokyo/A1311/A131101/13003599/,"湯島車站 / 日式點心, 銅鑼燒",- JPY 999,- JPY 999,星期三
27,3.84,VIRON 丸の内店,https://tabelog.com/tw/tokyo/A1302/A130201/13043904/,"東京車站 / 麵包, 蛋糕, 咖啡店","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999",-
28,3.84,パティスリー SATSUKI,https://tabelog.com/tw/tokyo/A1308/A130803/13000178/,"赤坂見附車站 / 蛋糕, 麵包",- JPY 999,- JPY 999,-
29,3.84,ケンズカフェ東京 総本店,https://tabelog.com/tw/tokyo/A1304/A130402/13024643/,"新宿御苑前車站 / 巧克力, 蛋糕","JPY 3,000 - JPY 3,999","JPY 3,000 - JPY 3,999","星期日, 節假日"
30,3.84,フランス菓子 パティシエ ショコラティエ イナムラショウゾウ,https://tabelog.com/tw/tokyo/A1311/A131105/13047298/,"日暮里車站 / 蛋糕, 巧克力","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999","星期一, 星期二"
31,3.84,ミニマル 富ヶ谷本店,https://tabelog.com/tw/tokyo/A1303/A130301/13175834/,"代代木八幡車站 / 巧克力, 蛋糕, 咖啡店","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999",-
32,3.84,パティスリートレカルム,https://tabelog.com/tw/tokyo/A1323/A132301/13175122/,"千石車站 / 蛋糕, 馬卡龍, 麵包",- JPY 999,-,星期一
